_id,interaction_id,post_id,user_id,type,interaction_timestamp
67292dfc1641189d4000ee71,1,48,6,like,2023-01-12 15:21:43
67292dfc1641189d4000ee72,2,121,5,like,2024-02-14 15:59:30
67292dfc1641189d4000ee73,3,16,5,saved,2023-01-02 20:37:47
67292dfc1641189d4000ee74,4,127,5,like,2023-01-30 19:05:45
67292dfc1641189d4000ee75,5,22,2,share,2023-10-13 03:46:32
67292dfc1641189d4000ee76,6,189,8,like,2023-12-25 07:07:01
67292dfc1641189d4000ee77,7,29,1,share,2024-05-05 02:58:06
67292dfc1641189d4000ee78,8,36,1,saved,2023-02-25 20:22:14
67292dfc1641189d4000ee79,9,19,1,share,2024-05-18 07:19:24
67292dfc1641189d4000ee7a,10,31,6,share,2023-08-15 23:30:10
67292dfc1641189d4000ee7b,11,69,10,saved,2024-05-30 23:22:52
67292dfc1641189d4000ee7c,12,154,6,share,2024-02-16 13:48:28
67292dfc1641189d4000ee7d,13,176,9,share,2023-02-01 07:17:27
67292dfc1641189d4000ee7e,14,118,9,share,2024-10-08 12:09:25
67292dfc1641189d4000ee7f,15,6,10,share,2023-12-08 02:03:48
67292dfc1641189d4000ee80,16,86,6,saved,2023-02-11 00:21:17
67292dfc1641189d4000ee81,17,26,10,share,2024-06-09 06:16:05
67292dfc1641189d4000ee82,18,116,5,share,2024-01-21 17:17:03
67292dfc1641189d4000ee83,19,117,3,like,2023-01-12 10:46:00
67292dfc1641189d4000ee84,20,134,3,share,2024-01-02 15:22:05
67292dfc1641189d4000ee85,21,152,9,saved,2023-09-30 01:48:14
67292dfc1641189d4000ee86,22,133,7,like,2024-01-18 03:50:09
67292dfc1641189d4000ee87,23,199,6,saved,2024-04-29 02:34:29
67292dfc1641189d4000ee88,24,95,9,saved,2023-09-11 00:48:54
67292dfc1641189d4000ee89,25,28,7,saved,2023-08-09 12:33:45
67292dfc1641189d4000ee8a,26,5,2,saved,2024-01-21 02:00:30
67292dfc1641189d4000ee8b,27,36,3,saved,2023-10-31 07:43:07
67292dfc1641189d4000ee8c,28,31,9,like,2023-04-22 03:07:39
67292dfc1641189d4000ee8d,29,1,6,saved,2023-06-07 14:26:15
67292dfc1641189d4000ee8e,30,88,1,saved,2023-11-01 23:35:10
67292dfc1641189d4000ee8f,31,46,5,share,2024-10-04 11:41:31
67292dfc1641189d4000ee90,32,154,9,share,2023-02-01 12:22:17
67292dfc1641189d4000ee91,33,113,2,like,2023-07-26 08:58:19
67292dfc1641189d4000ee92,34,124,5,like,2024-09-06 16:24:05
67292dfc1641189d4000ee93,35,44,8,share,2023-12-14 05:35:55
67292dfc1641189d4000ee94,36,161,9,saved,2024-03-09 17:40:27
67292dfc1641189d4000ee95,37,44,5,saved,2024-08-11 19:14:19
67292dfc1641189d4000ee96,38,24,6,saved,2023-10-26 11:17:58
67292dfc1641189d4000ee97,39,16,2,share,2023-01-27 18:16:01
67292dfc1641189d4000ee98,40,34,9,saved,2024-05-05 22:03:14
67292dfc1641189d4000ee99,41,55,10,share,2023-11-30 23:31:17
67292dfc1641189d4000ee9a,42,3,9,saved,2024-06-02 08:05:37
67292dfc1641189d4000ee9b,43,163,6,share,2023-07-26 16:16:43
67292dfc1641189d4000ee9c,44,25,3,saved,2023-07-15 17:09:45
67292dfc1641189d4000ee9d,45,192,2,saved,2023-09-14 04:50:40
67292dfc1641189d4000ee9e,46,28,7,like,2023-08-20 18:26:11
67292dfc1641189d4000ee9f,47,32,9,like,2023-01-19 23:36:29
67292dfc1641189d4000eea0,48,179,7,share,2023-01-09 19:56:24
67292dfc1641189d4000eea1,49,58,8,share,2024-01-18 01:15:21
67292dfc1641189d4000eea2,50,166,5,like,2023-05-02 05:23:07
67292dfc1641189d4000eea3,51,41,4,saved,2023-02-10 05:28:10
67292dfc1641189d4000eea4,52,116,2,saved,2024-08-19 05:25:46
67292dfc1641189d4000eea5,53,90,2,share,2023-11-13 09:12:14
67292dfc1641189d4000eea6,54,142,1,like,2024-06-20 18:28:20
67292dfc1641189d4000eea7,55,137,1,saved,2024-06-23 05:40:21
67292dfc1641189d4000eea8,56,84,6,share,2023-09-19 05:08:45
67292dfc1641189d4000eea9,57,128,4,share,2023-10-20 06:17:15
67292dfc1641189d4000eeaa,58,21,4,like,2024-05-05 02:58:53
67292dfc1641189d4000eeab,59,84,10,saved,2024-05-06 18:50:10
67292dfc1641189d4000eeac,60,72,8,share,2024-01-05 00:54:01
67292dfc1641189d4000eead,61,161,2,saved,2024-08-20 22:21:11
67292dfc1641189d4000eeae,62,136,6,saved,2023-07-30 11:18:15
67292dfc1641189d4000eeaf,63,54,3,saved,2024-03-19 05:17:24
67292dfc1641189d4000eeb0,64,163,3,saved,2024-10-22 19:23:32
67292dfc1641189d4000eeb1,65,105,7,share,2023-02-04 23:21:14
67292dfc1641189d4000eeb2,66,103,7,like,2023-06-29 13:13:21
67292dfc1641189d4000eeb3,67,103,9,share,2023-01-09 04:16:15
67292dfc1641189d4000eeb4,68,171,10,like,2024-10-28 18:11:19
67292dfc1641189d4000eeb5,69,15,2,like,2024-04-23 07:56:32
67292dfc1641189d4000eeb6,70,102,5,like,2023-10-25 03:55:53
67292dfc1641189d4000eeb7,71,113,8,like,2023-05-28 18:46:14
67292dfc1641189d4000eeb8,72,86,9,saved,2024-01-19 00:32:25
67292dfc1641189d4000eeb9,73,76,10,saved,2023-05-04 11:20:50
67292dfc1641189d4000eeba,74,45,1,share,2023-11-29 07:15:33
67292dfc1641189d4000eebb,75,101,7,like,2024-01-29 08:28:15
67292dfc1641189d4000eebc,76,71,1,like,2024-09-07 08:11:38
67292dfc1641189d4000eebd,77,160,7,share,2024-08-23 15:42:21
67292dfc1641189d4000eebe,78,142,6,share,2024-04-14 08:39:07
67292dfc1641189d4000eebf,79,28,10,like,2023-12-01 00:23:34
67292dfc1641189d4000eec0,80,106,8,like,2024-04-01 22:10:28
67292dfc1641189d4000eec1,81,93,9,saved,2024-09-16 22:03:12
67292dfc1641189d4000eec2,82,175,7,like,2024-01-04 20:51:23
67292dfc1641189d4000eec3,83,114,4,saved,2024-06-24 04:37:33
67292dfc1641189d4000eec4,84,161,3,like,2023-06-21 19:22:56
67292dfc1641189d4000eec5,85,112,5,like,2023-03-09 10:50:07
67292dfc1641189d4000eec6,86,144,6,like,2023-05-05 19:07:53
67292dfc1641189d4000eec7,87,200,9,like,2023-01-05 06:11:07
67292dfc1641189d4000eec8,88,137,4,like,2023-03-16 22:22:19
67292dfc1641189d4000eec9,89,93,10,like,2023-05-30 21:30:27
67292dfc1641189d4000eeca,90,127,1,like,2023-04-28 18:38:06
67292dfc1641189d4000eecb,91,5,6,like,2023-11-29 06:55:21
67292dfc1641189d4000eecc,92,83,8,saved,2023-08-30 11:38:13
67292dfc1641189d4000eecd,93,7,7,saved,2023-11-25 20:53:05
67292dfc1641189d4000eece,94,14,7,saved,2023-06-12 14:18:45
67292dfc1641189d4000eecf,95,64,3,like,2023-10-22 12:36:40
67292dfc1641189d4000eed0,96,55,7,like,2024-05-03 23:23:00
67292dfc1641189d4000eed1,97,85,2,share,2023-01-05 02:02:53
67292dfc1641189d4000eed2,98,162,2,saved,2023-06-04 01:20:32
67292dfc1641189d4000eed3,99,65,6,like,2023-09-06 19:36:43
67292dfc1641189d4000eed4,100,38,8,saved,2024-04-24 00:13:36
67292dfc1641189d4000eed5,101,159,1,share,2023-04-30 15:09:03
67292dfc1641189d4000eed6,102,57,7,like,2023-03-14 21:03:03
67292dfc1641189d4000eed7,103,128,6,share,2024-03-06 16:52:45
67292dfc1641189d4000eed8,104,12,5,like,2024-02-18 23:44:31
67292dfc1641189d4000eed9,105,6,7,saved,2024-10-10 07:41:33
67292dfc1641189d4000eeda,106,63,7,share,2023-07-03 03:26:09
67292dfc1641189d4000eedb,107,153,8,saved,2023-02-22 22:39:36
67292dfc1641189d4000eedc,108,114,4,saved,2024-03-22 04:02:55
67292dfc1641189d4000eedd,109,75,3,saved,2024-08-10 04:51:02
67292dfc1641189d4000eede,110,107,6,saved,2023-12-30 14:37:41
67292dfc1641189d4000eedf,111,10,6,saved,2023-06-06 18:48:31
67292dfc1641189d4000eee0,112,88,10,saved,2023-04-11 02:54:08
67292dfc1641189d4000eee1,113,125,7,like,2023-03-15 12:44:45
67292dfc1641189d4000eee2,114,74,1,like,2024-06-14 19:29:54
67292dfc1641189d4000eee3,115,35,5,like,2023-11-07 19:29:11
67292dfc1641189d4000eee4,116,21,3,like,2023-10-06 13:51:21
67292dfc1641189d4000eee5,117,18,6,saved,2023-04-06 07:47:30
67292dfc1641189d4000eee6,118,10,4,saved,2023-02-16 14:41:31
67292dfc1641189d4000eee7,119,105,4,like,2023-05-10 10:00:58
67292dfc1641189d4000eee8,120,186,6,saved,2024-08-29 03:52:44
67292dfc1641189d4000eee9,121,89,3,saved,2024-09-15 19:53:06
67292dfc1641189d4000eeea,122,126,1,like,2023-05-09 18:29:42
67292dfc1641189d4000eeeb,123,155,5,like,2023-01-09 11:03:46
67292dfc1641189d4000eeec,124,15,1,share,2023-04-04 13:25:41
67292dfc1641189d4000eeed,125,11,5,like,2023-07-18 07:03:09
67292dfc1641189d4000eeee,126,30,7,share,2024-08-18 03:41:32
67292dfc1641189d4000eeef,127,35,9,like,2024-06-28 19:26:20
67292dfc1641189d4000eef0,128,65,6,like,2023-12-01 23:54:56
67292dfc1641189d4000eef1,129,146,4,share,2024-07-10 11:38:46
67292dfc1641189d4000eef2,130,188,3,like,2023-05-22 13:45:53
67292dfc1641189d4000eef3,131,117,7,saved,2024-06-15 06:19:21
67292dfc1641189d4000eef4,132,55,7,saved,2023-04-09 08:24:44
67292dfc1641189d4000eef5,133,18,2,saved,2024-08-11 21:30:08
67292dfc1641189d4000eef6,134,133,4,share,2024-10-10 18:42:10
67292dfc1641189d4000eef7,135,185,8,share,2023-02-09 01:53:34
67292dfc1641189d4000eef8,136,154,2,like,2023-07-14 13:04:06
67292dfc1641189d4000eef9,137,77,7,like,2024-10-24 06:21:09
67292dfc1641189d4000eefa,138,46,1,share,2023-12-17 03:35:17
67292dfc1641189d4000eefb,139,88,4,saved,2023-09-16 20:34:56
67292dfc1641189d4000eefc,140,63,9,saved,2023-10-26 14:05:34
67292dfc1641189d4000eefd,141,86,5,share,2023-07-05 21:33:07
67292dfc1641189d4000eefe,142,73,9,share,2024-07-21 19:32:49
67292dfc1641189d4000eeff,143,51,7,like,2024-06-20 20:43:34
67292dfc1641189d4000ef00,144,56,8,share,2024-05-24 07:53:57
67292dfc1641189d4000ef01,145,125,2,like,2023-11-15 00:50:35
67292dfc1641189d4000ef02,146,197,7,saved,2023-12-26 16:18:06
67292dfc1641189d4000ef03,147,35,4,like,2023-10-28 10:52:08
67292dfc1641189d4000ef04,148,65,2,saved,2023-12-25 09:36:15
67292dfc1641189d4000ef05,149,70,5,saved,2023-08-12 05:23:33
67292dfc1641189d4000ef06,150,152,3,saved,2023-04-01 08:56:35
67292dfc1641189d4000ef07,151,175,1,like,2023-05-20 21:47:55
67292dfc1641189d4000ef08,152,179,6,share,2023-07-20 23:25:25
67292dfc1641189d4000ef09,153,91,9,like,2024-05-10 17:33:31
67292dfc1641189d4000ef0a,154,71,4,share,2023-05-16 10:56:43
67292dfc1641189d4000ef0b,155,197,1,saved,2024-02-14 15:45:05
67292dfc1641189d4000ef0c,156,107,4,share,2024-06-17 02:09:22
67292dfc1641189d4000ef0d,157,151,9,share,2024-03-19 05:00:16
67292dfc1641189d4000ef0e,158,51,9,like,2023-08-12 19:44:18
67292dfc1641189d4000ef0f,159,176,7,like,2023-06-23 10:07:48
67292dfc1641189d4000ef10,160,199,2,like,2023-05-16 16:37:00
67292dfc1641189d4000ef11,161,36,6,share,2023-07-25 10:11:29
67292dfc1641189d4000ef12,162,175,1,share,2024-10-18 16:01:12
67292dfc1641189d4000ef13,163,143,9,like,2023-03-26 15:53:16
67292dfc1641189d4000ef14,164,60,1,share,2023-11-10 08:15:50
67292dfc1641189d4000ef15,165,124,9,share,2024-08-30 19:08:08
67292dfc1641189d4000ef16,166,7,6,share,2023-02-16 10:44:01
67292dfc1641189d4000ef17,167,154,7,share,2024-05-31 01:03:16
67292dfc1641189d4000ef18,168,182,8,saved,2023-09-15 19:42:31
67292dfc1641189d4000ef19,169,7,9,share,2024-03-26 16:53:00
67292dfc1641189d4000ef1a,170,127,10,saved,2023-09-17 18:22:11
67292dfc1641189d4000ef1b,171,163,2,like,2023-03-30 03:24:52
67292dfc1641189d4000ef1c,172,38,5,like,2023-11-08 01:59:06
67292dfc1641189d4000ef1d,173,115,4,saved,2024-02-11 23:19:49
67292dfc1641189d4000ef1e,174,112,8,like,2024-01-29 15:58:54
67292dfc1641189d4000ef1f,175,185,8,share,2023-12-28 16:44:42
67292dfc1641189d4000ef20,176,96,7,share,2023-05-03 08:12:00
67292dfc1641189d4000ef21,177,109,1,like,2023-11-20 20:01:31
67292dfc1641189d4000ef22,178,138,7,saved,2024-02-23 01:17:21
67292dfc1641189d4000ef23,179,7,10,share,2023-09-03 07:21:12
67292dfc1641189d4000ef24,180,145,3,share,2023-01-17 13:41:18
67292dfc1641189d4000ef25,181,81,10,saved,2023-12-25 06:48:18
67292dfc1641189d4000ef26,182,77,6,like,2023-06-09 16:43:18
67292dfc1641189d4000ef27,183,106,9,like,2024-04-13 15:37:41
67292dfc1641189d4000ef28,184,178,9,saved,2023-02-09 16:41:33
67292dfc1641189d4000ef29,185,81,4,like,2023-05-25 20:32:34
67292dfc1641189d4000ef2a,186,188,8,saved,2023-11-22 18:34:12
